,age,education,marital-status,occupation,relationship,gender,hours-per-week,income,capital-margin,Private,Without-pay,gov,self-emp,Amer-Indian-Eskimo,Asian-Pac-Islander,Black,Other,White
17,2,1,0,7,1,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
18,1,2,1,9,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
19,2,1,1,2,0,0,2,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
20,1,1,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
21,1,1,2,6,1,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
22,3,1,1,2,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23,2,1,0,9,1,0,2,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
24,3,1,1,3,0,0,0,1,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
25,3,0,2,7,1,1,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
26,1,2,0,11,1,0,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
27,1,1,1,10,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
28,1,1,2,3,1,1,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29,2,2,1,9,0,0,1,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
30,1,0,0,6,1,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
31,1,1,0,2,1,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
32,3,3,1,9,0,0,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
33,2,2,1,11,0,0,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
34,2,1,1,4,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
35,1,0,1,7,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
36,1,1,0,4,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
37,1,2,1,9,0,1,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
38,3,1,1,13,0,0,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
39,3,0,2,8,1,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
40,3,1,2,3,1,1,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
41,1,1,0,7,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
42,2,1,2,5,1,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
43,1,1,0,7,1,1,0,0,-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
44,1,1,0,7,1,0,2,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
45,1,1,0,0,1,1,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
46,3,1,1,2,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
47,2,2,1,3,0,0,1,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
48,2,1,1,3,0,0,1,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
49,2,1,1,5,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
50,1,2,0,3,1,1,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51,2,1,2,11,1,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
52,1,3,0,3,1,1,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
53,2,1,0,6,1,1,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
54,3,1,2,0,1,1,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
55,2,2,1,2,0,0,2,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
56,1,1,0,7,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
57,3,1,2,13,1,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
58,2,1,1,11,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
59,3,1,1,3,0,0,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
60,3,2,1,12,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
61,1,1,2,5,1,1,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
62,2,1,1,6,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
63,3,1,1,11,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
64,3,1,1,13,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
65,1,1,0,0,1,1,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
66,2,1,1,6,0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
67,1,2,0,3,1,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
68,1,1,2,7,1,0,1,0,-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
69,2,1,1,2,0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
70,2,1,2,6,1,1,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
71,1,0,0,7,1,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
72,3,1,1,11,0,0,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
73,1,1,0,1,1,0,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
74,3,2,0,3,1,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
75,3,0,0,7,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
76,2,3,1,9,0,1,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
77,3,2,2,0,1,0,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
78,2,3,0,7,1,0,1,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
79,1,1,0,5,1,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
80,1,2,0,3,1,1,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
81,3,0,1,4,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
82,3,1,1,13,0,0,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
83,1,1,0,0,1,1,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
84,2,1,0,0,1,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
85,1,1,0,13,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
86,3,0,2,7,1,1,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
87,3,1,2,0,1,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
88,2,0,2,6,1,1,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89,2,1,1,10,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
90,1,1,0,13,1,0,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
91,1,1,0,5,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
92,1,1,0,7,1,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
93,1,1,0,6,1,1,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
94,1,1,1,2,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
95,1,2,1,3,0,0,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
96,2,1,1,5,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
97,1,1,0,5,1,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
98,3,1,1,2,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
99,1,0,0,7,1,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
100,2,1,1,0,1,1,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
101,2,2,2,11,1,1,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
102,2,2,2,9,1,1,2,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
103,1,1,0,11,1,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
104,1,1,0,10,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
105,2,1,2,12,1,1,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
106,2,1,2,5,1,1,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
107,3,1,2,0,1,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
108,3,4,1,9,0,1,1,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
109,1,1,0,9,1,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
110,2,3,1,9,0,0,1,1,-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
111,2,1,1,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
112,1,1,0,2,1,1,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
113,2,4,1,9,0,0,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
114,3,1,1,2,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
115,1,2,0,9,1,1,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
116,2,1,1,11,0,0,2,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
117,3,0,1,6,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
118,2,1,1,6,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
119,1,0,1,4,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
120,3,3,1,9,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
121,2,1,1,3,0,0,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
122,2,1,1,3,0,0,1,1,-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
123,2,3,0,9,1,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
124,3,1,2,3,1,1,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
125,2,2,2,3,1,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
126,2,1,1,11,0,0,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
127,3,2,1,3,0,0,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
128,1,1,0,11,1,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
129,1,1,0,7,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
130,1,0,1,7,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
131,3,0,1,6,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
132,1,0,0,2,1,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
133,2,2,1,0,0,0,1,1,-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
134,1,1,0,0,1,1,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
135,1,1,0,2,1,0,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
136,1,2,0,11,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
137,2,1,0,5,1,1,1,0,-1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
138,2,2,2,3,1,0,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
139,3,0,1,7,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
140,2,1,1,11,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
141,1,1,1,2,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
142,1,2,0,11,1,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
143,3,3,1,3,0,0,1,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
144,2,1,1,3,0,0,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
145,3,4,1,9,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
146,2,1,1,2,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
147,1,1,0,5,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
148,3,1,2,3,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
149,3,1,1,9,0,0,1,1,-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
150,2,3,0,9,1,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
151,1,2,0,0,1,1,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
152,3,0,1,3,0,0,2,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
153,3,3,2,0,1,1,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
154,2,1,1,3,0,0,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
155,1,2,1,6,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
156,2,1,1,6,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
157,2,1,1,11,0,0,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
158,2,1,1,6,0,0,1,1,-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
159,2,3,0,3,1,0,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
160,3,1,1,3,0,0,1,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
161,2,2,2,3,1,1,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
162,2,1,2,11,1,1,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
163,3,1,2,5,1,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
164,1,1,0,6,1,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
165,1,1,0,7,1,1,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
166,2,2,1,3,0,0,1,1,-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
167,2,2,2,9,1,0,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
168,3,1,2,0,1,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
169,1,1,0,9,1,1,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
170,2,1,2,3,1,1,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
171,2,1,0,13,1,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
172,2,1,1,9,0,1,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
173,1,1,0,6,1,1,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
174,1,1,1,5,0,0,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
175,3,1,1,10,0,0,1,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
176,1,2,1,3,0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
177,3,2,2,2,1,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
178,2,2,2,9,1,1,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
179,3,2,1,9,0,0,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
180,2,2,1,11,0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
181,2,0,1,2,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
182,3,1,1,3,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
183,2,2,1,9,0,1,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
184,2,1,1,11,0,0,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
185,1,0,0,11,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
186,1,1,0,7,1,1,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
187,2,2,2,2,1,1,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
188,2,2,1,13,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
189,1,2,0,12,1,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
190,3,1,1,6,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
191,2,1,0,7,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
192,2,2,2,2,1,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
193,1,2,0,3,1,1,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
194,2,1,0,2,1,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
195,3,1,1,11,0,0,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
196,3,0,1,13,0,0,1,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
197,2,1,1,2,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
198,3,2,1,9,0,0,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
199,3,1,1,3,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
200,1,0,0,8,1,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
201,2,1,1,9,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
202,2,1,1,12,0,0,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
203,3,1,1,7,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
204,2,2,2,12,1,1,2,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
205,3,1,1,12,0,0,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
206,1,1,0,11,1,1,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
207,2,1,1,13,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
208,1,1,0,7,1,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
209,3,1,1,2,0,0,2,0,-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
210,1,1,0,7,1,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
211,3,1,1,13,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
212,1,1,0,0,1,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
213,2,1,1,5,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
214,1,1,1,11,1,1,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
215,3,1,1,13,0,0,2,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
216,2,1,1,6,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
217,1,1,0,11,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
218,2,2,0,2,1,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
219,1,2,1,9,0,0,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
220,1,2,0,12,1,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
221,1,1,0,6,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
222,3,1,2,12,1,0,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
223,2,1,0,7,1,1,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
224,1,1,0,7,1,0,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
225,3,1,0,9,1,0,0,0,-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
226,3,1,1,3,0,1,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
227,1,3,0,9,1,0,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
228,1,1,0,9,1,1,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
229,1,2,0,0,1,1,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
230,1,3,0,3,1,1,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
231,1,1,1,5,0,0,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
232,1,0,1,2,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
233,2,0,1,11,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
234,1,1,1,3,0,0,2,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
235,3,0,1,13,0,0,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
236,3,1,1,3,0,1,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
237,3,3,0,3,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
238,1,1,0,7,1,1,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
239,2,1,2,7,1,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
240,1,0,0,5,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
241,3,2,1,2,0,0,1,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
242,1,1,0,10,1,0,2,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
243,2,1,1,2,0,0,1,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
244,2,1,1,5,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
245,1,1,0,5,1,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
